ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000007968	ENSG00000163602	1	2	2
ENSG00000164961	ENSG00000181404	1	2	2
ENSG00000114416	ENSG00000114416	2	2	2
ENSG00000004975	ENSG00000186153	2	2	2
ENSG00000125733	ENSG00000140750	1	2	2
ENSG00000163602	ENSG00000169016	4	4	5
ENSG00000186575	ENSG00000186575	2	2	2
ENSG00000097007	ENSG00000163602	1	3	3
ENSG00000105568	ENSG00000113575	20	10	24
ENSG00000177885	ENSG00000180370	1	2	2
ENSG00000132109	ENSG00000204209	1	2	2
ENSG00000128604	ENSG00000128604	2	4	4
ENSG00000100811	ENSG00000163602	2	3	3
ENSG00000100721	ENSG00000105221	2	2	3
ENSG00000106683	ENSG00000180370	1	2	2
ENSG00000162366	ENSG00000174827	3	3	5
ENSG00000135679	ENSG00000163602	1	4	4
ENSG00000104064	ENSG00000163602	1	2	2
ENSG00000163602	ENSG00000204227	6	5	7
ENSG00000150991	ENSG00000163602	1	3	3
ENSG00000160013	ENSG00000174827	1	2	2
ENSG00000104365	ENSG00000121022	2	4	5
ENSG00000006607	ENSG00000174827	1	2	2
ENSG00000145335	ENSG00000197386	1	2	2
ENSG00000109062	ENSG00000160801	1	2	2
ENSG00000121022	ENSG00000136273	1	2	2
ENSG00000131508	ENSG00000150991	4	3	4
ENSG00000121022	ENSG00000178607	2	2	3
ENSG00000060688	ENSG00000144028	3	3	3
ENSG00000133107	ENSG00000133107	1	2	2
ENSG00000143553	ENSG00000196072	3	5	5
ENSG00000136051	ENSG00000164961	1	2	2
ENSG00000122966	ENSG00000143878	1	2	2
ENSG00000109062	ENSG00000169860	1	3	3
ENSG00000103152	ENSG00000171867	1	3	3
ENSG00000133107	ENSG00000150995	2	2	2
ENSG00000096433	ENSG00000133107	2	2	2
ENSG00000123104	ENSG00000133107	1	2	2
ENSG00000110395	ENSG00000131508	8	2	9
ENSG00000109062	ENSG00000151704	1	2	2
ENSG00000197386	ENSG00000197386	4	5	5
ENSG00000136051	ENSG00000181404	1	2	2
ENSG00000080802	ENSG00000131508	5	4	7
